from_Indicator,Relation,to_chemicals,CAS
Lead and its compounds,INCLUDE,"Slimes and Sludges, copper-lead ore roasting off gas scrubbing, arsenic-contg.",102110-62-3
Lead and its compounds,INCLUDE,barium calcium cesium lead samarium strontium bromide chloride fluoride iodide europium doped,199876-46-5
Lead and its compounds,INCLUDE,Lead C3-13-alkanecarboxylate naphthenate complexes,79803-79-5
Lead and its compounds,INCLUDE,"Acetic acid, oleic acid, candelilla wax, tallow, calcium-lead complex salt",69103-03-3
Lead and its compounds,INCLUDE,lead(2+) phosphonate,13453-65-1
Lead and its compounds,INCLUDE,[phthalato(2-)]dioxotrilead,69011-06-9
Lead and its compounds,INCLUDE,Trilead chromate silicate,69011-07-0
Lead and its compounds,INCLUDE,"Lead alloy, base, dross",69011-59-2
Lead and its compounds,INCLUDE,"Lead alloy, base, Pb,Sn, dross",69011-60-5
Lead and its compounds,INCLUDE,"Flue dust, lead-tin alloy-manufg.",69012-60-8
Lead and its compounds,INCLUDE,"Flue dust, zinc-refining",69012-63-1
Lead and its compounds,INCLUDE,"Leach residues, zinc ore-calcine, zinc cobalt",69012-72-2
Lead and its compounds,INCLUDE,"Lead, dross, antimony-rich",69029-45-4
Lead and its compounds,INCLUDE,"Lead, dross, bismuth-rich",69029-46-5
Lead and its compounds,INCLUDE,Dore,69029-47-6
Lead and its compounds,INCLUDE,"Lead, antimonial, dross",69029-51-2
Lead and its compounds,INCLUDE,"Lead, dross",69029-52-3
Lead and its compounds,INCLUDE,"Lead oxide (PbO), retort",69029-53-4
Lead and its compounds,INCLUDE,"Slags, lead reverbatory smelting",69029-58-9
Lead and its compounds,INCLUDE,"Zinc, desilverizing skims",69029-60-3
Lead and its compounds,INCLUDE,"Bismuth, refinery lead chloride residues",69029-61-4
Lead and its compounds,INCLUDE,"Flue dust, lead-refining",69029-67-0
Lead and its compounds,INCLUDE,"Leach residues, lead slag",69029-71-6
Lead and its compounds,INCLUDE,"Leach residues, precious metal recovery lead refining",69029-72-7
Lead and its compounds,INCLUDE,"Calcines, lead ore conc.",69029-74-9
Lead and its compounds,INCLUDE,"Residues, lead roaster",69029-78-3
Lead and its compounds,INCLUDE,"Residues, lead smelting",69029-79-4
Lead and its compounds,INCLUDE,"Residues, precious metal recovery lead refining",69029-80-7
Lead and its compounds,INCLUDE,"Slags, lead smelting",69029-84-1
Lead and its compounds,INCLUDE,"Slags, precious metal recovery lead refining",69029-85-2
Lead and its compounds,INCLUDE,"Slags, tellurium",69029-86-3
Lead and its compounds,INCLUDE,"Slimes and Sludges, lead refining",69029-93-2
Lead and its compounds,INCLUDE,"Lead, dross, copper-rich",69227-11-8
Lead and its compounds,INCLUDE,"Lead, C6-19-branched carboxylate naphthenate complexes",70084-67-2
Lead and its compounds,INCLUDE,Lead(2+) nitroresorcinolate,70268-38-1
Lead and its compounds,INCLUDE,"Lead, decanoate octanoate complexes",70321-55-0
Lead and its compounds,INCLUDE,"Lead, alkyls, manufg. wastes",70513-89-2
Lead and its compounds,INCLUDE,"Flue dust, lead blast furnace",70514-05-5
Lead and its compounds,INCLUDE,"Slimes and Sludges, lead sinter dust scrubber",70514-37-3
Lead and its compounds,INCLUDE,Lead(2+) isooctadecanoate,70727-02-5
Lead and its compounds,INCLUDE,Lead(2+) neodecanoate,71684-29-2
Lead and its compounds,INCLUDE,Lead(II) fumarate,71686-03-8
Lead and its compounds,INCLUDE,Hydroxy(neodecanoato-O)lead,71753-04-3
Lead and its compounds,INCLUDE,Lead bis(nonylphenolate),72586-00-6
Lead and its compounds,INCLUDE,"Fatty acids, C9-11-branched, lead salts",81412-57-9
Lead and its compounds,INCLUDE,"Lead, C5-23-branched carboxylate C4-10-fatty acid naphthenate complexes",83711-45-9
Lead and its compounds,INCLUDE,"Lead, C5-23-branched carboxylate naphthenate complexes",83711-46-0
Lead and its compounds,INCLUDE,"Lead, C5-23-branched carboxylate naphthenate octanoate complexes",83711-47-1
Lead and its compounds,INCLUDE,"Lead, C5-23-branched carboxylate C4-10-fatty acid complexes",84066-98-8
Lead and its compounds,INCLUDE,"Lead, C5-23-branched carboxylate octanoate complexes",84066-99-9
Lead and its compounds,INCLUDE,Lead di(acetate),301-04-2
Lead and its compounds,INCLUDE,Lead bis(2-ethylhexanoate),301-08-6
Lead and its compounds,INCLUDE,Trilead dicitrate,512-26-5
Lead and its compounds,INCLUDE,Lead tetraacetate,546-67-8
Lead and its compounds,INCLUDE,Lead dicyanide,592-05-2
Lead and its compounds,INCLUDE,Lead dithiocyanate,592-87-0
Lead and its compounds,INCLUDE,Tetraphenyllead,595-89-1
Lead and its compounds,INCLUDE,Lead diformate,811-54-1
Lead and its compounds,INCLUDE,Lead dipropionate,814-70-0
Lead and its compounds,INCLUDE,Lead oxalate,814-93-7
Lead and its compounds,INCLUDE,Lead tartrate,815-84-9
Lead and its compounds,INCLUDE,Lead malate,816-68-2
Lead and its compounds,INCLUDE,Lead dibutyrate,819-73-8
Lead and its compounds,INCLUDE,Lead(2+) acrylate,867-47-0
Lead and its compounds,INCLUDE,Lead dibenzoate,873-54-1
Lead and its compounds,INCLUDE,Chlorotriethylplumbane,1067-14-7
Lead and its compounds,INCLUDE,Lead(2+) methacrylate,1068-61-7
Lead and its compounds,INCLUDE,Lead distearate,1072-35-1
Lead and its compounds,INCLUDE,Lead dioleate,1120-46-3
Lead and its compounds,INCLUDE,Chlorotriphenylplumbane,1153-06-6
Lead and its compounds,INCLUDE,Acetoxytriphenylplumbane,1162-06-7
Lead and its compounds,INCLUDE,Tetramethyllead,75-74-1
Lead and its compounds,INCLUDE,Tetraethyllead,78-00-2
Lead and its compounds,INCLUDE,Trilead diarsenate,3687-31-8
Lead and its compounds,INCLUDE,Acetoxytrimethylplumbane,5711-19-3
Lead and its compounds,INCLUDE,Lead dipicrate,6477-64-1
Lead and its compounds,INCLUDE,Lead phthalate,6838-85-3
Lead and its compounds,INCLUDE,Diacetoxydiphenylplumbane,6928-68-3
Lead and its compounds,INCLUDE,"Formic acid, lead salt",7056-83-9
Lead and its compounds,INCLUDE,Lead(2+) octanoate,7319-86-0
Lead and its compounds,INCLUDE,"Stearic acid, lead salt",7428-48-0
Lead and its compounds,INCLUDE,Lead sulphite,7446/10/8
Lead and its compounds,INCLUDE,Lead sulphate PbSO4,7446-14-2
Lead and its compounds,INCLUDE,Lead selenate,7446-15-3
Lead and its compounds,INCLUDE,Trilead bis(orthophosphate),7446-27-7
Lead and its compounds,INCLUDE,Lead(2+) selenite,7488-51-9
Lead and its compounds,INCLUDE,Lead(4+) stearate,7717-46-6
Lead and its compounds,INCLUDE,Lead dichloride,7758-95-4
Lead and its compounds,INCLUDE,Lead chromate,7758-97-6
Lead and its compounds,INCLUDE,Lead tungsten tetraoxide,7759/1/5
Lead and its compounds,INCLUDE,Dicalcium lead tetraoxide,12013-69-3
Lead and its compounds,INCLUDE,Dilead chromate dihydroxide,12017-86-6
Lead and its compounds,INCLUDE,Dodecairon lead nonadecaoxide,12023-90-4
Lead and its compounds,INCLUDE,Hafnium lead trioxide,12029-23-1
Lead and its compounds,INCLUDE,Lead disodium dioxide,12034-30-9
Lead and its compounds,INCLUDE,Lead diniobium hexaoxide,12034-88-7
Lead and its compounds,INCLUDE,Lead tin trioxide,12036-31-6
Lead and its compounds,INCLUDE,Lead oxide sulfate,12036-76-9
Lead and its compounds,INCLUDE,"Bismuth, compound with lead (1:1)",12048-28-1
Lead and its compounds,INCLUDE,Dilead oxide,12059-89-1
Lead and its compounds,INCLUDE,Lead titanium trioxide,12060-00-3
Lead and its compounds,INCLUDE,Lead zirconium trioxide,12060-01-4
Lead and its compounds,INCLUDE,Lead ditantalum hexaoxide,12065-68-8
Lead and its compounds,INCLUDE,Pentalead tetraoxide sulphate,12065-90-6
Lead and its compounds,INCLUDE,Lead selenide,12069-00-0
Lead and its compounds,INCLUDE,Lead difluoride,7783-46-2
Lead and its compounds,INCLUDE,Lead(IV) fluoride,7783-59-7
Lead and its compounds,INCLUDE,Lead hydrogen arsenate,7784-40-9
Lead and its compounds,INCLUDE,"Pyrochlore, antimony lead yellow",8012-00-8
Lead and its compounds,INCLUDE,"Resin acids and Rosin acids, lead salts",9008-26-8
Lead and its compounds,INCLUDE,Lead arsenite,10031-13-7
Lead and its compounds,INCLUDE,Lead dibromide,10031-22-8
Lead and its compounds,INCLUDE,Lead dinitrate,10099-74-8
Lead and its compounds,INCLUDE,Lead(2+) silicate,10099-76-0
Lead and its compounds,INCLUDE,Lead divanadium hexaoxide,10099-79-3
Lead and its compounds,INCLUDE,Lead diiodide,10101-63-0
Lead and its compounds,INCLUDE,Lead molybdate,10190-55-3
Lead and its compounds,INCLUDE,Lead diphosphinate,10294-58-3
Lead and its compounds,INCLUDE,"Silicic acid, chromium lead salt",11113-70-5
Lead and its compounds,INCLUDE,Dibismuth dilead tetraruthenium tridecaoxide,11116-83-9
Lead and its compounds,INCLUDE,"Silicic acid, lead salt",11120-22-2
Lead and its compounds,INCLUDE,Lead succinate,1191-18-0
Lead and its compounds,INCLUDE,Lead dioxide,1309-60-0
Lead and its compounds,INCLUDE,Orange lead,1314-41-6
Lead and its compounds,INCLUDE,Lead sulphide,1314-87-0
Lead and its compounds,INCLUDE,Lead telluride,1314-91-6
Lead and its compounds,INCLUDE,Lead monoxide,1317-36-8
Lead and its compounds,INCLUDE,Trilead-bis(carbonate)-dihydroxide 2PbCO3-Pb(OH)2,1319-46-6
Lead and its compounds,INCLUDE,"2-(2,4,5,7-tetrabromo-3,6-dihydroxyxanthen-9-yl)benzoic acid, lead salt",1326-05-2
Lead and its compounds,INCLUDE,"Lead, bis(acetato-O)tetrahydroxytri-",1335-32-6
Lead and its compounds,INCLUDE,Lead sulfochromate yellow,1344-37-2
Lead and its compounds,INCLUDE,Basic lead chromate orange,1344-38-3
Lead and its compounds,INCLUDE,Chlorotrimethylplumbane,1520-78-1
Lead and its compounds,INCLUDE,Ethyltrimethylplumbane,1762-26-1
Lead and its compounds,INCLUDE,Diethyldimethylplumbane,1762-27-2
Lead and its compounds,INCLUDE,Triethylmethylplumbane,1762-28-3
Lead and its compounds,INCLUDE,Tetrabutylplumbane,1920-90-7
Lead and its compounds,INCLUDE,Diphenyllead dichloride,2117-69-3
Lead and its compounds,INCLUDE,Hexaethyldiplumbane,2388-00-3
Lead and its compounds,INCLUDE,Acetoxytributylplumbane,2587-82-8
Lead and its compounds,INCLUDE,Hexaphenyldiplumbane,3124/1/4
Lead and its compounds,INCLUDE,"Docosanoic acid, lead salt",3249-61-4
Lead and its compounds,INCLUDE,Dilead chromate oxide,18454-12-1
Lead and its compounds,INCLUDE,Lead dilactate,18917-82-3
Lead and its compounds,INCLUDE,Lead bis(dimethyldithiocarbamate),19010-66-3
Lead and its compounds,INCLUDE,Lead maleate,19136-34-6
Lead and its compounds,INCLUDE,Lead palmitate,19528-55-3
Lead and its compounds,INCLUDE,"5,5,13,13-tetradehydro-4,5-dihydro-4,8,10,15-tetranitro-7,11-metheno-11H,13H-tetrazolo[1,5-c][1,7,3,5,2,6]dioxadiazadiplumbacyclododecine",19651-80-0
Lead and its compounds,INCLUDE,Lead hydroxide,19783-14-3
Lead and its compounds,INCLUDE,"Phosphorodithioate O,O-bis(1,3-dimethylbutyl), lead salt",20383-42-0
Lead and its compounds,INCLUDE,"Myristic acid, lead salt",20403-41-2
Lead and its compounds,INCLUDE,"Decanoic acid, lead salt",20403-42-3
Lead and its compounds,INCLUDE,Lead cyanamidate,20890-10-2
Lead and its compounds,INCLUDE,"Lead 2,4-dihydroxybenzoate",20936-32-7
Lead and its compounds,INCLUDE,Lead silicate,22569-74-0
Lead and its compounds,INCLUDE,"Disodium lead N,N'-ethylenebis[N-(carboxylatomethyl)aminoacetate]",22904-40-1
Lead and its compounds,INCLUDE,"3,5,5-trimethylhexanoic acid, lead salt",23621-79-6
Lead and its compounds,INCLUDE,Lead carbonate,25510-11-6
Lead and its compounds,INCLUDE,Lead diiodate,25659-31-8
Lead and its compounds,INCLUDE,Lead hexafluorosilicate,25808-74-6
Lead and its compounds,INCLUDE,"Thiosulphuric acid, lead salt",26265-65-6
Lead and its compounds,INCLUDE,"Neodecanoic acid, lead salt",27253-28-7
Lead and its compounds,INCLUDE,"Isononanoic acid, lead salt",27253-41-4
Lead and its compounds,INCLUDE,Lead disulphide,12137-74-5
Lead and its compounds,INCLUDE,Trilead dioxide phosphonate,12141-20-7
Lead and its compounds,INCLUDE,Tetralead trioxide sulphate,12202-17-4
Lead and its compounds,INCLUDE,Lead chloride oxide,12205-72-0
Lead and its compounds,INCLUDE,"Antimony, compound with lead (1:1)",12266-38-5
Lead and its compounds,INCLUDE,Lead hydroxide nitrate,12268-84-7
Lead and its compounds,INCLUDE,(maleato)trioxotetralead,12275-07-9
Lead and its compounds,INCLUDE,Potassium pentadecaoxodiplumbatepentaniobate(1-),12372-45-1
Lead and its compounds,INCLUDE,Dihydroxy[styphnato(2-)]dilead,12403-82-6
Lead and its compounds,INCLUDE,Lead germanate,12435-47-1
Lead and its compounds,INCLUDE,Dioxobis(stearato)trilead,12578-12-0
Lead and its compounds,INCLUDE,Lead titanium zirconium oxide,12626-81-2
Lead and its compounds,INCLUDE,Lead chromate molybdate sulfate red,12656-85-8
Lead and its compounds,INCLUDE,Lead tungsten oxide,12737-98-3
Lead and its compounds,INCLUDE,Lead oxide sulfate,12765-51-4
Lead and its compounds,INCLUDE,Lead(2+) (R)-12-hydroxyoleate,13094-04-7
Lead and its compounds,INCLUDE,"Lead(2+) 2,4-dinitroresorcinolate",13406-89-8
Lead and its compounds,INCLUDE,Lead diazide,13424-46-9
Lead and its compounds,INCLUDE,Dilead pyrophosphate,13453-66-2
Lead and its compounds,INCLUDE,Lead thiosulphate,13478-50-7
Lead and its compounds,INCLUDE,Diantimony trilead octaoxide,13510-89-9
Lead and its compounds,INCLUDE,Lead diperchlorate,13637-76-8
Lead and its compounds,INCLUDE,Lead fumarate,13698-55-0
Lead and its compounds,INCLUDE,Lead disulphamidate,13767-78-7
Lead and its compounds,INCLUDE,Lead bis(tetrafluoroborate),13814-96-5
Lead and its compounds,INCLUDE,Lead nitrite,13826-65-8
Lead and its compounds,INCLUDE,Lead(2+) tellurium tetraoxide,13845-35-7
Lead and its compounds,INCLUDE,"Citric acid, lead salt",14450-60-3
Lead and its compounds,INCLUDE,Lead acrylate,14466-01-4
Lead and its compounds,INCLUDE,Lead metaborate,14720-53-7
Lead and its compounds,INCLUDE,"Lead 2,4,6-trinitro-m-phenylene dioxide",15245-44-0
Lead and its compounds,INCLUDE,"Bis(pentane-2,4-dionato-O,O')lead",15282-88-9
Lead and its compounds,INCLUDE,"Lauric acid, lead salt",15306-30-6
Lead and its compounds,INCLUDE,Lead oleate,15347-55-4
Lead and its compounds,INCLUDE,Lead acetate,15347-57-6
Lead and its compounds,INCLUDE,"Octanoic acid, lead salt",15696-43-2
Lead and its compounds,INCLUDE,"Sulphuric acid, lead salt Pbx SO4",15739-80-7
Lead and its compounds,INCLUDE,Lead disalicylate,15748-73-9
Lead and its compounds,INCLUDE,Lead(2+) decanoate,15773-52-1
Lead and its compounds,INCLUDE,Lead dihexanoate,15773-53-2
Lead and its compounds,INCLUDE,Lead dilaurate,15773-55-4
Lead and its compounds,INCLUDE,Lead dipalmitate,15773-56-5
Lead and its compounds,INCLUDE,Lead hydrogenorthophosphate,15845-52-0
Lead and its compounds,INCLUDE,Lead(2+) tellurium trioxide,15851-47-5
Lead and its compounds,INCLUDE,Lead silicate,15906-71-5
Lead and its compounds,INCLUDE,Lead benzoate,15907-04-7
Lead and its compounds,INCLUDE,Lead phosphite,16038-76-9
Lead and its compounds,INCLUDE,Lead phthalate,16183-12-3
Lead and its compounds,INCLUDE,Diantimony lead tetroxide,16450-50-3
Lead and its compounds,INCLUDE,"2-ethylhexanoic acid, lead salt",16996-40-0
Lead and its compounds,INCLUDE,"(9Z,12Z)-octadeca-9,12-dienoic acid, lead salt",16996-51-3
Lead and its compounds,INCLUDE,Lead(II) maleate,17406-54-1
Lead and its compounds,INCLUDE,"Bis(diethyldithiocarbamato-S,S')lead",17549-30-3
Lead and its compounds,INCLUDE,Cyclo-di-μ-oxo(μ-phthalato)trilead,17976-43-1
Lead and its compounds,INCLUDE,Lead(2+) sebacate,29473-77-6
Lead and its compounds,INCLUDE,Lead didocosanoate,29597-84-0
Lead and its compounds,INCLUDE,Lead dimyristate,32112-52-0
Lead and its compounds,INCLUDE,Lead dilinoleate,33627-12-2
Lead and its compounds,INCLUDE,Lead dibromate,34018-28-5
Lead and its compounds,INCLUDE,Lead(II) methylthiolate,35029-96-0
Lead and its compounds,INCLUDE,Lead cyanamide,35112-70-0
Lead and its compounds,INCLUDE,"Orthoboric acid, lead(2+) salt",35498-15-8
Lead and its compounds,INCLUDE,"Lead bis(3,5,5-trimethylhexanoate)",35837-70-8
Lead and its compounds,INCLUDE,Lead bis(dipentyldithiocarbamate),36501-84-5
Lead and its compounds,INCLUDE,Dilead diruthenium hexaoxide,37194-88-0
Lead and its compounds,INCLUDE,Dilead dirhodium heptaoxide,37240-96-3
Lead and its compounds,INCLUDE,Lead isophthalate,38787-87-0
Lead and its compounds,INCLUDE,Lead chloride silicate,39390-00-6
Lead and its compounds,INCLUDE,"Lead bis(2,4-dihydroxybenzoate)",41453-50-3
Lead and its compounds,INCLUDE,Lead bis(piperidine-1-carbodithioate),41556-46-1
Lead and its compounds,INCLUDE,Lead propionate,42558-73-6
Lead and its compounds,INCLUDE,"Sulphuric acid, barium lead salt",42579-89-5
Lead and its compounds,INCLUDE,Lead naphthenate,50825-29-1
Lead and its compounds,INCLUDE,3-(triphenylplumbyl)-1H-pyrazole,51105-45-4
Lead and its compounds,INCLUDE,"Nitroresorcinol, lead salt",51317-24-9
Lead and its compounds,INCLUDE,"Trinitrophloroglucinol, lead salt",51325-28-1
Lead and its compounds,INCLUDE,"Acetic acid, lead salt, basic",51404-69-4
Lead and its compounds,INCLUDE,"Octadecanoic acid, lead(2+) salt, tribasic",52080-60-1
Lead and its compounds,INCLUDE,"Sulfurous acid, lead salt, basic",52231-92-2
Lead and its compounds,INCLUDE,Lead methacrylate,52609-46-8
Lead and its compounds,INCLUDE,"Sulfuric acid, lead salt, tetrabasic",52732-72-6
Lead and its compounds,INCLUDE,Lead bis(isononanoate),52847-85-5
Lead and its compounds,INCLUDE,"Phosphonic acid, lead salt, basic",53807-64-0
Lead and its compounds,INCLUDE,"1,3,5-triazine-2,4,6(1H,3H,5H)-trione, lead salt",54554-36-8
Lead and its compounds,INCLUDE,Dioxobis(stearato)dilead,56189-09-4
Lead and its compounds,INCLUDE,[phthalato(2-)]oxodilead,57142-78-6
Lead and its compounds,INCLUDE,Lead bis(12-hydroxystearate),58405-97-3
Lead and its compounds,INCLUDE,Lead 5-nitroterephthalate,60580-60-1
Lead and its compounds,INCLUDE,"Naphthenic acids, lead manganese salts",61788-52-1
Lead and its compounds,INCLUDE,"Fatty acids, tall-oil, lead manganese salts",61788-53-2
Lead and its compounds,INCLUDE,"Fatty acids, tall-oil, lead salts",61788-54-3
Lead and its compounds,INCLUDE,"Naphthenic acids, lead salts",61790-14-5
Lead and its compounds,INCLUDE,"Sulfurous acid, lead salt, dibasic",62229-08-7
Lead and its compounds,INCLUDE,Bis(o-acetoxybenzoato)lead,62451-77-8
Lead and its compounds,INCLUDE,Lead bis(4-cyclohexylbutyrate),62637-99-4
Lead and its compounds,INCLUDE,Lead(2+) heptadecanoate,63399-94-0
Lead and its compounds,INCLUDE,Lead bis(diisononylnaphthalenesulphonate),63568-30-9
Lead and its compounds,INCLUDE,"Isooctanoic acid, lead salt",64504-12-7
Lead and its compounds,INCLUDE,Lead dibutanolate,65119-94-0
Lead and its compounds,INCLUDE,"Lead(2+) 4,6-dinitro-o-cresolate",65121-76-8
Lead and its compounds,INCLUDE,Lead 12-hydroxyoctadecanoate,65127-78-8
Lead and its compounds,INCLUDE,Bismuth lead ruthenium oxide,65229-22-3
Lead and its compounds,INCLUDE,"Frits, chemicals",65997-18-4
Lead and its compounds,INCLUDE,"Petrolatum (petroleum), oxidized, lead salt",67674-14-0
Lead and its compounds,INCLUDE,Dilead silicate sulphate,67711-86-8
Lead and its compounds,INCLUDE,"Fatty acids, C12-18, lead salts",68131-60-2
Lead and its compounds,INCLUDE,"Lead, 2-ethylhexanoate tall-oil fatty acids complexes",68187-37-1
Lead and its compounds,INCLUDE,"Cadmium sulfide (CdS), solid soln. with zinc sulfide, copper and lead-doped",68332-81-0
Lead and its compounds,INCLUDE,"Fatty acids, C8-10-branched, lead salts, basic",68409-79-0
Lead and its compounds,INCLUDE,"Lead oxide (PbO), lead-contg.",68411-78-9
Lead and its compounds,INCLUDE,"Oils, menhaden, lead salts",68424-76-0
Lead and its compounds,INCLUDE,"Hexanoic acid, dimethyl-, lead(2+) salt, basic",68442-95-5
Lead and its compounds,INCLUDE,"Hexanoic acid, 2-ethyl-, lead(2+) salt, basic",68515-76-4
Lead and its compounds,INCLUDE,"Hexanoic acid, 3,5,5-trimethyl-, lead(2+) salt, basic",68515-77-5
Lead and its compounds,INCLUDE,"Lead, isooctanoate naphthenate complexes",68515-80-0
Lead and its compounds,INCLUDE,"Linseed oil, lead manganese salt",68553-17-3
Lead and its compounds,INCLUDE,"Oils, fish, lead salts",68553-63-9
Lead and its compounds,INCLUDE,"Spinels, boron calcium lead silicon white",68555-05-5
Lead and its compounds,INCLUDE,"Spinels, lead silicon tin zinc white",68555-07-7
Lead and its compounds,INCLUDE,"Zinc sulfide (ZnS), copper and lead-doped",68585-90-0
Lead and its compounds,INCLUDE,Lead(2+) dodecylphenolate,68586-21-0
Lead and its compounds,INCLUDE,"Fatty acids, C6-19-branched, lead salts, basic",68603-83-8
Lead and its compounds,INCLUDE,"Octanoic acid, branched, lead salts, basic",68604-56-8
Lead and its compounds,INCLUDE,"Fatty acids, tallow, hydrogenated, lead salts",68605-98-1
Lead and its compounds,INCLUDE,"Plumbane, ethyl methyl derivs.",68610-17-3
Lead and its compounds,INCLUDE,"Tungstate (WO42-), calcium (1:1), (T-4)-, lead-doped",68784-53-2
Lead and its compounds,INCLUDE,"Silicic acid (H6Si2O7), barium magnesium strontium salt, lead-doped",68784-74-7
Lead and its compounds,INCLUDE,"Silicic acid (H2Si2O5), barium salt (1:1), lead-doped",68784-75-8
Lead and its compounds,INCLUDE,"Cadmium sulfide (CdS), copper and lead-doped",68891-87-2
Lead and its compounds,INCLUDE,"(R)-3,5,6-trihydroxy-4,6-bis(3-methylbut-2-enyl)-2-(3-methyl-2-oxobutyl)cyclohexa-2,4-dien-1-one, lead salt",68901-11-1
Lead and its compounds,INCLUDE,"α-d-Glucopyranose, 1-(dihydrogen phosphate), lead salt",68901-12-2
Lead and its compounds,INCLUDE,"Acetic acid, reaction products with lead oxide (PbO), silica and sulfuric acid",68937-05-3
Inorganic ammonium salts,INCLUDE,"Vanadate(3-), hexafluoro-, triammonium salt",13815-31-1
Inorganic ammonium salts,INCLUDE,Ammonium tetrathiotungstate [(NH4)2WS4],13862-78-7
Inorganic ammonium salts,INCLUDE,"Molybdate(2-), tetrathioxo-, diammonium, (T-4)-",15060-55-6
Inorganic ammonium salts,INCLUDE,Ammonium chromic sulfate dodecahydrate,10022-47-6
Inorganic ammonium salts,INCLUDE,Nickel ammonium sulfate hexahydrate,7785-20-8
Inorganic ammonium salts,INCLUDE,"Nitric acid, ammonium cerium(4+) salt (6:2:1)",10139-51-2
Inorganic ammonium salts,INCLUDE,Ammonium lanthanum nitrate,10169-00-3
Inorganic ammonium salts,INCLUDE,"Aluminate(2-), difluoro[phosphato(3-)-κO]-, ammonium hydrogen (1:1:1)",11095-65-1
Inorganic ammonium salts,INCLUDE,"Ferrate(2-), difluoro[phosphato(3-)-κO]-, ammonium hydrogen (1:1:1)",11095-66-2
Inorganic ammonium salts,INCLUDE,"Vanadate (V10O286-), ammonium (1:6)",12208-00-3
Inorganic ammonium salts,INCLUDE,Cryptohalite,1309-32-6
Inorganic ammonium salts,INCLUDE,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ammonium iron salt, hydrate",1332-98-5
Inorganic ammonium salts,INCLUDE,Mixtures of a permanganate with an ammonium salt,13446-10-1
Inorganic ammonium salts,INCLUDE,"Phosphoric acid, ammonium cadmium salt (1:1:1)",14520-70-8
Inorganic ammonium salts,INCLUDE,Ammonium magnesium arsenate,14644-70-3
Inorganic ammonium salts,INCLUDE,"Sulfuric acid, aluminum ammonium salt (2:1:1), tetracosahydrate",14725-69-0
Inorganic ammonium salts,INCLUDE,"Nickelate(1-), trichloro-, ammonium, hexahydrate",16122-03-5
Inorganic ammonium salts,INCLUDE,Ammonium borate,22694-75-3
Inorganic ammonium salts,INCLUDE,"Selenious acid, ammonium salt (2:1)",25425-97-2
Inorganic ammonium salts,INCLUDE,"Boric acid (H3BO3), ammonium salt",27522-09-4
Inorganic ammonium salts,INCLUDE,"Sulfuric acid, ammonium magnesium salt (3:2:2)",27733-50-2
Inorganic ammonium salts,INCLUDE,azanium;lanthanum(3+);tetranitrate,31178-09-3
Inorganic ammonium salts,INCLUDE,"Sulfuric acid, ammonium sodium salt, dihydrate",7783-10-0
Inorganic ammonium salts,INCLUDE,"Sulfuric acid, ammonium zinc salt (2:2:1), hexahydrate",7783-24-6
Inorganic ammonium salts,INCLUDE,"Sulfuric acid, ammonium magnesium salt (2:2:1), hexahydrate",7785-18-4
Inorganic ammonium salts,INCLUDE,"Stannate(1-), trifluoro-, ammonium (9CI)",15660-29-4
Inorganic ammonium salts,INCLUDE,Ammonium cerous sulfate tetrahydrate,10049-02-2
Inorganic ammonium salts,INCLUDE,"Chromate(1-), bis(benzenamine)tetrakis(thiocyanato-N)-, ammonium (9CI)",10380-20-8
Inorganic ammonium salts,INCLUDE,Ammonium paratungstate hexahydrate,12208-54-7
Inorganic ammonium salts,INCLUDE,"Ammonium phosphotungstenate, trihydrate",12704-02-8
Inorganic ammonium salts,INCLUDE,Ammonium 12-tungstophosphate,1311-90-6
Inorganic ammonium salts,INCLUDE,"Ferrate(3-), hexafluoro-, triammonium salt",13815-28-6
Inorganic ammonium salts,INCLUDE,"Platinate(1-), amminetrichloro-, ammonium, (SP-4-2)-",13820-94-5
Inorganic ammonium salts,INCLUDE,Ammonium hexafluorogallate,14639-94-2
Inorganic ammonium salts,INCLUDE,Cobalt ammonium complex,14695-95-5
Inorganic ammonium salts,INCLUDE,"Nitric acid, ammonium cerium(3+) salt (5:2:1)",15318-60-2
Inorganic ammonium salts,INCLUDE,"Tungstate(2-), dioxodithioxo-, diammonium (9CI)",16150-61-1
Inorganic ammonium salts,INCLUDE,Triammonium uranyl pentafluoride,12062-03-2
Inorganic ammonium salts,INCLUDE,"Chromate(1-), diamminetetrakis(isothiocyanato)-, ammonium, hydrate",19441-09-9
Inorganic ammonium salts,INCLUDE,"Ferrate(2-), [N,N-bis[2-[bis(carboxymethyl)amino]ethyl]glycinato(3-)]-, ammonium hydrogen",19529-40-9
Inorganic ammonium salts,INCLUDE,Vitaferro,19864-63-2
Inorganic ammonium salts,INCLUDE,"Sulfuric acid, ammonium cerium(3+) salt (2:1:1)",21995-38-0
Inorganic ammonium salts,INCLUDE,"Arsonic acid, methyl-, monoammonium salt",2321-53-1
Inorganic ammonium salts,INCLUDE,"Carbonic acid, ammoniumplutonium salt (8CI)",24917-46-2
Inorganic ammonium salts,INCLUDE,"Uranic acid, diammonium salt, hydrate",28347-83-3
Inorganic ammonium salts,INCLUDE,"1-Heptene-1-arsonic acid, 2-chloro-, monoammonium salt",300-88-9
Inorganic ammonium salts,INCLUDE,"Molybdate(2-),tetrafluorodioxo-, diammonium (8CI,9CI)",30291-63-5
